"energy","valence","Count"
0.429,0.464,66
0.471,0.269,66
0.494,0.548,66
0.501,0.647,66
0.543,0.497,66
0.567,0.497,66
0.59,0.272,66
0.601,0.867,66
0.628,0.59,66
0.63,0.447,66
0.63,0.763,66
0.631,0.47,66
0.646,0.334,66
0.66,0.407,66
0.663,0.377,66
0.665,0.825,66
0.7,0.664,66
0.716,0.401,66
0.741,0.459,66
0.748,0.93,66
0.784,0.369,66
0.8,0.934,66
0.847,0.647,66
0.865,0.819,66
0.875,0.816,66
0.894,0.937,66
0.908,0.924,66
0.923,0.422,66
0.932,0.469,66
0.192,0.82,65
0.198,0.287,65
0.281,0.514,65
0.296,0.12,65
0.346,0.845,65
0.488,0.255,65
0.533,0.215,65
0.558,0.362,65
0.564,0.683,65
0.568,0.554,65
0.589,0.571,65
0.593,0.45,65
0.598,0.831,65
0.607,0.555,65
0.626,0.334,65
0.647,0.186,65
0.66,0.216,65
0.66,0.534,65
0.664,0.892,65
0.671,0.533,65
0.671,0.904,65
0.681,0.634,65
0.693,0.495,65
0.712,0.232,65
0.726,0.647,65
0.735,0.604,65
0.735,0.963,65
0.738,0.201,65
0.754,0.428,65
0.78,0.798,65
0.791,0.963,65
0.805,0.653,65
0.816,0.713,65
0.837,0.916,65
0.846,0.74,65
0.873,0.796,65
0.385,0.321,64
0.413,0.344,64
0.442,0.213,64
0.453,0.475,64
0.459,0.36,64
0.471,0.307,64
0.472,0.48,64
0.481,0.323,64
0.568,0.513,64
0.575,0.685,64
0.591,0.27,64
0.595,0.261,64
0.653,0.11,64
0.669,0.763,64
0.677,0.908,64
0.685,0.835,64
0.761,0.635,64
0.766,0.646,64
0.779,0.515,64
0.808,0.682,64
0.809,0.926,64
0.809,0.949,64
0.832,0.92,64
0.851,0.541,64
0.91,0.897,64
0.925,0.627,64
0.351,0.224,63
0.421,0.31,63
0.442,0.336,63
0.447,0.391,63
0.481,0.296,63
0.491,0.507,63
0.525,0.976,63
0.545,0.302,63
0.552,0.318,63
0.559,0.601,63
0.585,0.704,63
0.597,0.208,63
0.608,0.482,63
0.611,0.716,63
0.613,0.724,63
0.628,0.317,63
0.662,0.678,63
0.671,0.207,63
0.696,0.727,63
0.704,0.513,63
0.713,0.889,63
0.724,0.629,63
0.729,0.52,63
0.731,0.711,63
0.741,0.795,63
0.753,0.405,63
0.769,0.662,63
0.785,0.8,63
0.803,0.442,63
0.811,0.928,63
0.813,0.423,63
0.813,0.809,63
0.818,0.736,63
0.836,0.921,63
0.841,0.84,63
0.843,0.745,63
0.86,0.69,63
0.861,0.468,63
0.867,0.693,63
0.89,0.426,63
0.898,0.498,63
0.904,0.907,63
0.947,0.803,63
0.275,0.0432,62
0.381,0.435,62
0.461,0.176,62
0.467,0.51,62
0.51,0.404,62
0.512,0.271,62
0.513,0.168,62
0.516,0.148,62
0.527,0.245,62
0.531,0.217,62
0.532,0.442,62
0.559,0.414,62
0.572,0.665,62
0.582,0.326,62
0.586,0.519,62
0.593,0.467,62
0.606,0.883,62
0.609,0.656,62
0.614,0.315,62
0.614,0.564,62
0.64,0.893,62
0.669,0.627,62
0.683,0.475,62
0.72,0.471,62
0.727,0.741,62
0.75,0.893,62
0.768,0.616,62
0.826,0.579,62
0.872,0.796,62
0.953,0.874,62
0.239,0.31,61
0.356,0.231,61
0.459,0.143,61
0.468,0.0677,61
0.5,0.607,61
0.51,0.4,61
0.563,0.504,61
0.564,0.488,61
0.576,0.914,61
0.577,0.691,61
0.578,0.399,61
0.581,0.966,61
0.583,0.185,61
0.599,0.75,61
0.617,0.665,61
0.629,0.323,61
0.643,0.923,61
0.672,0.397,61
0.673,0.641,61
0.679,0.119,61
0.68,0.966,61
0.688,0.444,61
0.691,0.767,61
0.705,0.587,61
0.713,0.447,61
0.733,0.587,61
0.738,0.591,61
0.748,0.862,61
0.756,0.963,61
0.757,0.879,61
0.76,0.709,61
0.765,0.698,61
0.795,0.766,61
0.801,0.41,61
0.804,0.568,61
0.815,0.87,61
0.291,0.351,60
0.434,0.236,60
0.451,0.601,60
0.452,0.465,60
0.527,0.576,60
0.567,0.521,60
0.571,0.369,60
0.577,0.148,60
0.602,0.756,60
0.607,0.819,60
0.611,0.885,60
0.622,0.792,60
0.648,0.49,60
0.677,0.698,60
0.683,0.808,60
0.686,0.364,60
0.688,0.382,60
0.708,0.801,60
0.715,0.953,60
0.717,0.662,60
0.721,0.623,60
0.727,0.356,60
0.739,0.844,60
0.75,0.71,60
0.752,0.363,60
0.754,0.652,60
0.759,0.275,60
0.779,0.95,60
0.792,0.415,60
0.815,0.886,60
0.819,0.719,60
0.847,0.357,60
0.892,0.78,60
0.894,0.732,60
0.223,0.367,59
0.251,0.18,59
0.33,0.62,59
0.45,0.455,59
0.459,0.401,59
0.46,0.352,59
0.485,0.119,59
0.502,0.321,59
0.514,0.6,59
0.534,0.193,59
0.535,0.442,59
0.582,0.804,59
0.629,0.618,59
0.632,0.414,59
0.647,0.404,59
0.655,0.723,59
0.665,0.496,59
0.675,0.508,59
0.727,0.341,59
0.727,0.704,59
0.747,0.918,59
0.753,0.53,59
0.755,0.43,59
0.756,0.836,59
0.757,0.876,59
0.774,0.883,59
0.802,0.783,59
0.811,0.934,59
0.83,0.889,59
0.862,0.714,59
0.871,0.826,59
0.901,0.947,59
0.964,0.906,59
0.228,0.365,58
0.242,0.372,58
0.355,0.185,58
0.415,0.531,58
0.475,0.309,58
0.531,0.418,58
0.533,0.513,58
0.57,0.357,58
0.571,0.61,58
0.59,0.755,58
0.615,0.591,58
0.62,0.0969,58
0.63,0.512,58
0.635,0.658,58
0.639,0.952,58
0.645,0.163,58
0.645,0.667,58
0.65,0.923,58
0.677,0.337,58
0.688,0.579,58
0.7,0.331,58
0.701,0.945,58
0.712,0.597,58
0.716,0.627,58
0.722,0.299,58
0.742,0.681,58
0.742,0.871,58
0.745,0.239,58
0.754,0.375,58
0.762,0.712,58
0.781,0.541,58
0.806,0.703,58
0.807,0.433,58
0.834,0.929,58
0.841,0.825,58
0.871,0.567,58
0.898,0.67,58
0.914,0.528,58
0.929,0.814,58
0.944,0.964,58
0.205,0.268,57
0.238,0.334,57
0.406,0.825,57
0.425,0.347,57
0.435,0.331,57
0.487,0.731,57
0.514,0.699,57
0.523,0.641,57
0.555,0.323,57
0.595,0.594,57
0.621,0.909,57
0.625,0.921,57
0.654,0.436,57
0.674,0.859,57
0.683,0.545,57
0.691,0.636,57
0.693,0.75,57
0.721,0.802,57
0.728,0.938,57
0.746,0.9,57
0.753,0.876,57
0.755,0.74,57
0.761,0.529,57
0.764,0.735,57
0.797,0.51,57
0.807,0.464,57
0.813,0.387,57
0.833,0.428,57
0.882,0.436,57
0.883,0.951,57
0.915,0.439,57
0.92,0.733,57
0.352,0.293,56
0.383,0.219,56
0.393,0.328,56
0.43,0.265,56
0.458,0.195,56
0.485,0.6,56
0.494,0.647,56
0.501,0.585,56
0.514,0.2,56
0.522,0.795,56
0.526,0.377,56
0.553,0.391,56
0.571,0.492,56
0.583,0.458,56
0.606,0.395,56
0.617,0.645,56
0.649,0.0754,56
0.652,0.445,56
0.662,0.117,56
0.667,0.904,56
0.678,0.514,56
0.707,0.642,56
0.707,0.816,56
0.722,0.636,56
0.723,0.643,56
0.731,0.852,56
0.735,0.812,56
0.787,0.487,56
0.789,0.329,56
0.789,0.484,56
0.805,0.496,56
0.827,0.477,56
0.839,0.747,56
0.839,0.793,56
0.842,0.52,56
0.874,0.709,56
0.9,0.884,56
0.902,0.809,56
0.908,0.657,56
0.914,0.839,56
0.945,0.104,56
0.279,0.434,55
0.376,0.472,55
0.472,0.571,55
0.49,0.847,55
0.511,0.451,55
0.537,0.56,55
0.568,0.488,55
0.575,0.903,55
0.584,0.556,55
0.607,0.714,55
0.621,0.336,55
0.628,0.788,55
0.663,0.686,55
0.67,0.766,55
0.676,0.726,55
0.685,0.539,55
0.702,0.431,55
0.709,0.435,55
0.726,0.889,55
0.727,0.618,55
0.729,0.53,55
0.73,0.498,55
0.766,0.485,55
0.785,0.972,55
0.807,0.582,55
0.814,0.655,55
0.825,0.777,55
0.836,0.59,55
0.836,0.623,55
0.849,0.855,55
0.878,0.932,55
0.882,0.642,55
0.912,0.62,55
0.965,0.44,55
0.246,0.49,54
0.28,0.254,54
0.299,0.244,54
0.396,0.607,54
0.409,0.376,54
0.411,0.145,54
0.45,0.158,54
0.505,0.574,54
0.508,0.248,54
0.519,0.429,54
0.53,0.962,54
0.541,0.813,54
0.55,0.837,54
0.564,0.399,54
0.576,0.358,54
0.599,0.35,54
0.619,0.442,54
0.638,0.467,54
0.662,0.561,54
0.668,0.555,54
0.671,0.682,54
0.682,0.642,54
0.709,0.81,54
0.741,0.738,54
0.753,0.904,54
0.773,0.172,54
0.777,0.658,54
0.786,0.473,54
0.788,0.426,54
0.801,0.663,54
0.802,0.151,54
0.849,0.798,54
0.857,0.759,54
0.877,0.374,54
0.878,0.826,54
0.927,0.867,54
0.958,0.864,54
0.991,0.961,54
0.259,0.616,53
0.327,0.504,53
0.4,0.143,53
0.487,0.26,53
0.519,0.396,53
0.528,0.456,53
0.553,0.485,53
0.562,0.293,53
0.563,0.575,53
0.581,0.555,53
0.59,0.789,53
0.612,0.271,53
0.616,0.398,53
0.639,0.427,53
0.643,0.646,53
0.65,0.6,53
0.665,0.936,53
0.672,0.286,53
0.68,0.219,53
0.693,0.325,53
0.7,0.583,53
0.714,0.961,53
0.715,0.4,53
0.741,0.237,53
0.743,0.775,53
0.758,0.535,53
0.762,0.962,53
0.773,0.187,53
0.789,0.816,53
0.825,0.501,53
0.85,0.115,53
0.85,0.631,53
0.85,0.72,53
0.877,0.743,53
0.905,0.881,53
0.952,0.752,53
0.978,0.958,53
0.291,0.391,52
0.33,0.574,52
0.409,0.572,52
0.433,0.451,52
0.434,0.427,52
0.438,0.234,52
0.438,0.619,52
0.515,0.273,52
0.528,0.248,52
0.532,0.423,52
0.545,0.301,52
0.558,0.271,52
0.569,0.485,52
0.574,0.488,52
0.583,0.677,52
0.629,0.459,52
0.634,0.241,52
0.663,0.208,52
0.674,0.447,52
0.691,0.486,52
0.695,0.869,52
0.703,0.452,52
0.743,0.542,52
0.758,0.385,52
0.76,0.482,52
0.773,0.474,52
0.797,0.0356,52
0.801,0.325,52
0.826,0.66,52
0.859,0.936,52
0.86,0.766,52
0.873,0.963,52
0.932,0.889,52
0.213,0.197,51
0.318,0.33,51
0.373,0.158,51
0.376,0.231,51
0.434,0.369,51
0.467,0.134,51
0.468,0.377,51
0.482,0.602,51
0.53,0.444,51
0.563,0.709,51
0.582,0.436,51
0.583,0.617,51
0.632,0.793,51
0.633,0.547,51
0.637,0.35,51
0.642,0.894,51
0.669,0.843,51
0.679,0.503,51
0.682,0.547,51
0.684,0.75,51
0.688,0.587,51
0.698,0.754,51
0.699,0.49,51
0.704,0.564,51
0.711,0.504,51
0.76,0.466,51
0.765,0.57,51
0.775,0.182,51
0.795,0.577,51
0.799,0.575,51
0.816,0.671,51
0.829,0.6,51
0.833,0.949,51
0.852,0.689,51
0.858,0.578,51
0.867,0.3,51
0.875,0.833,51
0.876,0.922,51
0.88,0.607,51
0.887,0.723,51
0.892,0.533,51
0.897,0.698,51
0.923,0.576,51
0.95,0.596,51
0.292,0.205,50
0.326,0.474,50
0.332,0.566,50
0.417,0.749,50
0.513,0.893,50
0.519,0.455,50
0.538,0.542,50
0.572,0.415,50
0.576,0.482,50
0.578,0.186,50
0.578,0.681,50
0.582,0.428,50
0.596,0.382,50
0.611,0.609,50
0.616,0.53,50
0.622,0.444,50
0.635,0.59,50
0.637,0.719,50
0.649,0.776,50
0.658,0.633,50
0.66,0.734,50
0.675,0.658,50
0.677,0.603,50
0.692,0.811,50
0.7,0.37,50
0.703,0.388,50
0.703,0.634,50
0.704,0.402,50
0.712,0.596,50
0.721,0.609,50
0.732,0.662,50
0.736,0.673,50
0.739,0.358,50
0.78,0.416,50
0.782,0.704,50
0.783,0.537,50
0.807,0.421,50
0.814,0.681,50
0.815,0.353,50
0.821,0.513,50
0.832,0.69,50
0.872,0.766,50
0.891,0.482,50
0.891,0.696,50
0.911,0.931,50
0.926,0.751,50
0.223,0.363,49
0.273,0.462,49
0.315,0.132,49
0.356,0.189,49
0.366,0.237,49
0.411,0.515,49
0.429,0.189,49
0.476,0.518,49
0.482,0.647,49
0.514,0.637,49
0.521,0.599,49
0.524,0.246,49
0.555,0.716,49
0.556,0.621,49
0.559,0.589,49
0.569,0.872,49
0.57,0.245,49
0.597,0.59,49
0.6,0.548,49
0.605,0.518,49
0.61,0.225,49
0.631,0.221,49
0.632,0.742,49
0.635,0.336,49
0.654,0.319,49
0.659,0.193,49
0.666,0.529,49
0.688,0.635,49
0.736,0.227,49
0.742,0.942,49
0.746,0.344,49
0.747,0.19,49
0.75,0.753,49
0.768,0.424,49
0.779,0.228,49
0.78,0.634,49
0.796,0.74,49
0.807,0.918,49
0.814,0.812,49
0.822,0.736,49
0.833,0.56,49
0.837,0.893,49
0.865,0.32,49
0.867,0.754,49
0.867,0.961,49
0.868,0.465,49
0.876,0.606,49
0.884,0.787,49
0.921,0.962,49
0.198,0.199,48
0.289,0.282,48
0.351,0.65,48
0.519,0.185,48
0.546,0.351,48
0.563,0.398,48
0.572,0.839,48
0.582,0.561,48
0.599,0.589,48
0.599,0.809,48
0.619,0.815,48
0.624,0.701,48
0.633,0.785,48
0.634,0.375,48
0.636,0.31,48
0.652,0.406,48
0.663,0.427,48
0.671,0.399,48
0.673,0.366,48
0.673,0.448,48
0.696,0.684,48
0.696,0.86,48
0.711,0.529,48
0.714,0.52,48
0.744,0.357,48
0.744,0.623,48
0.759,0.591,48
0.762,0.529,48
0.782,0.55,48
0.791,0.741,48
0.803,0.68,48
0.808,0.782,48
0.81,0.883,48
0.811,0.497,48
0.815,0.786,48
0.816,0.915,48
0.834,0.442,48
0.835,0.476,48
0.839,0.739,48
0.876,0.808,48
0.89,0.437,48
0.908,0.572,48
0.966,0.767,48
0.984,0.742,48
0.425,0.779,47
0.457,0.783,47
0.458,0.371,47
0.471,0.237,47
0.486,0.197,47
0.5,0.271,47
0.519,0.844,47
0.539,0.691,47
0.543,0.731,47
0.599,0.668,47
0.611,0.771,47
0.631,0.64,47
0.636,0.438,47
0.642,0.804,47
0.647,0.686,47
0.672,0.767,47
0.69,0.813,47
0.693,0.412,47
0.705,0.512,47
0.708,0.337,47
0.721,0.433,47
0.722,0.788,47
0.742,0.42,47
0.748,0.567,47
0.765,0.641,47
0.766,0.27,47
0.77,0.541,47
0.777,0.869,47
0.779,0.539,47
0.781,0.456,47
0.811,0.32,47
0.825,0.677,47
0.863,0.598,47
0.906,0.773,47
0.956,0.838,47
0.228,0.358,46
0.256,0.29,46
0.27,0.557,46
0.317,0.177,46
0.365,0.223,46
0.39,0.22,46
0.406,0.151,46
0.412,0.349,46
0.419,0.27,46
0.421,0.511,46
0.424,0.463,46
0.427,0.618,46
0.433,0.413,46
0.459,0.17,46
0.486,0.421,46
0.512,0.842,46
0.517,0.467,46
0.522,0.436,46
0.527,0.569,46
0.551,0.819,46
0.556,0.485,46
0.557,0.663,46
0.56,0.86,46
0.564,0.412,46
0.577,0.206,46
0.582,0.918,46
0.59,0.578,46
0.631,0.642,46
0.632,0.308,46
0.639,0.486,46
0.64,0.923,46
0.647,0.253,46
0.651,0.505,46
0.657,0.873,46
0.662,0.346,46
0.674,0.848,46
0.685,0.478,46
0.686,0.312,46
0.692,0.298,46
0.696,0.315,46
0.714,0.361,46
0.716,0.51,46
0.725,0.762,46
0.734,0.499,46
0.735,0.681,46
0.735,0.708,46
0.74,0.154,46
0.744,0.39,46
0.758,0.653,46
0.761,0.657,46
0.766,0.216,46
0.769,0.899,46
0.797,0.362,46
0.802,0.706,46
0.808,0.557,46
0.823,0.958,46
0.839,0.828,46
0.846,0.569,46
0.873,0.776,46
0.896,0.957,46
0.912,0.675,46
0.941,0.521,46
0.217,0.313,45
0.272,0.195,45
0.364,0.0857,45
0.366,0.225,45
0.369,0.259,45
0.41,0.317,45
0.417,0.124,45
0.442,0.486,45
0.452,0.597,45
0.454,0.409,45
0.457,0.478,45
0.458,0.674,45
0.46,0.164,45
0.511,0.0586,45
0.512,0.492,45
0.514,0.248,45
0.516,0.428,45
0.536,0.201,45
0.552,0.532,45
0.597,0.528,45
0.608,0.613,45
0.626,0.812,45
0.631,0.887,45
0.637,0.508,45
0.643,0.222,45
0.658,0.551,45
0.662,0.89,45
0.681,0.772,45
0.689,0.384,45
0.703,0.856,45
0.703,0.902,45
0.72,0.634,45
0.725,0.8,45
0.737,0.584,45
0.747,0.869,45
0.748,0.594,45
0.749,0.627,45
0.769,0.131,45
0.774,0.614,45
0.778,0.263,45
0.786,0.529,45
0.836,0.637,45
0.837,0.446,45
0.84,0.545,45
0.849,0.934,45
0.851,0.672,45
0.888,0.869,45
0.897,0.381,45
0.915,0.926,45
0.917,0.686,45
0.929,0.628,45
0.929,0.962,45
0.933,0.608,45
0.935,0.775,45
0.958,0.652,45
0.0423,0.311,44
0.144,0.429,44
0.32,0.381,44
0.333,0.39,44
0.363,0.259,44
0.439,0.325,44
0.442,0.308,44
0.465,0.202,44
0.478,0.513,44
0.484,0.408,44
0.513,0.467,44
0.514,0.347,44
0.521,0.216,44
0.526,0.65,44
0.551,0.231,44
0.552,0.956,44
0.557,0.345,44
0.569,0.531,44
0.585,0.212,44
0.6,0.384,44
0.604,0.276,44
0.606,0.491,44
0.609,0.797,44
0.611,0.701,44
0.617,0.109,44
0.619,0.42,44
0.644,0.53,44
0.649,0.312,44
0.662,0.216,44
0.663,0.786,44
0.664,0.582,44
0.666,0.195,44
0.668,0.407,44
0.668,0.552,44
0.673,0.911,44
0.682,0.844,44
0.683,0.36,44
0.687,0.649,44
0.689,0.523,44
0.701,0.752,44
0.706,0.897,44
0.713,0.708,44
0.721,0.607,44
0.731,0.299,44
0.739,0.421,44
0.801,0.694,44
0.803,0.634,44
0.803,0.725,44
0.814,0.443,44
0.831,0.778,44
0.868,0.336,44
0.93,0.859,44
0.0349,0.451,43
0.126,0.282,43
0.196,0.39,43
0.235,0.414,43
0.246,0.296,43
0.273,0.165,43
0.308,0.482,43
0.391,0.353,43
0.428,0.312,43
0.439,0.483,43
0.458,0.775,43
0.497,0.29,43
0.502,0.39,43
0.504,0.508,43
0.509,0.384,43
0.516,0.531,43
0.527,0.438,43
0.541,0.741,43
0.572,0.31,43
0.598,0.574,43
0.603,0.595,43
0.628,0.28,43
0.629,0.3,43
0.649,0.136,43
0.677,0.569,43
0.678,0.548,43
0.68,0.412,43
0.693,0.454,43
0.693,0.528,43
0.702,0.546,43
0.706,0.664,43
0.711,0.377,43
0.716,0.591,43
0.757,0.764,43
0.757,0.87,43
0.784,0.613,43
0.789,0.842,43
0.796,0.616,43
0.803,0.675,43
0.808,0.814,43
0.829,0.621,43
0.832,0.408,43
0.832,0.517,43
0.833,0.632,43
0.846,0.558,43
0.868,0.826,43
0.87,0.368,43
0.884,0.78,43
0.951,0.842,43
0.262,0.311,42
0.344,0.503,42
0.408,0.105,42
0.44,0.819,42
0.449,0.514,42
0.468,0.347,42
0.483,0.346,42
0.484,0.503,42
0.525,0.475,42
0.54,0.221,42
0.545,0.412,42
0.547,0.275,42
0.556,0.53,42
0.558,0.657,42
0.565,0.382,42
0.57,0.347,42
0.574,0.438,42
0.581,0.51,42
0.587,0.585,42
0.601,0.507,42
0.612,0.728,42
0.623,0.583,42
0.624,0.521,42
0.627,0.657,42
0.644,0.639,42
0.655,0.24,42
0.661,0.245,42
0.663,0.863,42
0.666,0.545,42
0.671,0.758,42
0.674,0.73,42
0.692,0.199,42
0.697,0.257,42
0.7,0.567,42
0.708,0.594,42
0.71,0.891,42
0.726,0.391,42
0.731,0.416,42
0.74,0.844,42
0.761,0.471,42
0.763,0.425,42
0.765,0.555,42
0.775,0.704,42
0.777,0.678,42
0.814,0.803,42
0.817,0.386,42
0.826,0.379,42
0.826,0.522,42
0.84,0.493,42
0.84,0.822,42
0.841,0.336,42
0.864,0.647,42
0.878,0.845,42
0.89,0.866,42
0.0676,0.118,41
0.341,0.751,41
0.347,0.323,41
0.397,0.311,41
0.417,0.708,41
0.474,0.446,41
0.491,0.452,41
0.503,0.509,41
0.528,0.121,41
0.54,0.554,41
0.562,0.288,41
0.593,0.68,41
0.597,0.493,41
0.617,0.34,41
0.628,0.719,41
0.642,0.778,41
0.669,0.238,41
0.67,0.478,41
0.691,0.798,41
0.698,0.867,41
0.708,0.758,41
0.732,0.429,41
0.737,0.499,41
0.743,0.66,41
0.748,0.717,41
0.763,0.864,41
0.768,0.81,41
0.78,0.547,41
0.814,0.892,41
0.819,0.448,41
0.83,0.511,41
0.836,0.676,41
0.852,0.626,41
0.89,0.421,41
0.943,0.498,41
0.339,0.215,40
0.461,0.538,40
0.464,0.322,40
0.479,0.131,40
0.481,0.415,40
0.482,0.356,40
0.483,0.809,40
0.503,0.13,40
0.508,0.488,40
0.519,0.804,40
0.534,0.558,40
0.551,0.626,40
0.565,0.37,40
0.567,0.622,40
0.568,0.569,40
0.572,0.684,40
0.591,0.159,40
0.594,0.779,40
0.608,0.198,40
0.609,0.618,40
0.623,0.299,40
0.626,0.581,40
0.63,0.55,40
0.633,0.557,40
0.653,0.779,40
0.656,0.714,40
0.665,0.323,40
0.666,0.381,40
0.682,0.797,40
0.694,0.345,40
0.726,0.585,40
0.729,0.769,40
0.733,0.244,40
0.743,0.623,40
0.747,0.487,40
0.748,0.827,40
0.764,0.7,40
0.77,0.627,40
0.792,0.488,40
0.795,0.759,40
0.805,0.829,40
0.811,0.599,40
0.821,0.548,40
0.823,0.651,40
0.847,0.763,40
0.849,0.538,40
0.88,0.848,40
0.897,0.814,40
0.938,0.863,40
0.962,0.702,40
0.37,0.289,39
0.382,0.45,39
0.411,0.34,39
0.425,0.501,39
0.442,0.277,39
0.455,0.468,39
0.489,0.768,39
0.489,0.788,39
0.495,0.356,39
0.496,0.0354,39
0.496,0.466,39
0.498,0.698,39
0.511,0.212,39
0.512,0.452,39
0.515,0.2,39
0.52,0.0838,39
0.558,0.754,39
0.56,0.176,39
0.565,0.659,39
0.622,0.641,39
0.626,0.76,39
0.627,0.662,39
0.635,0.61,39
0.639,0.963,39
0.671,0.771,39
0.685,0.357,39
0.705,0.42,39
0.706,0.873,39
0.709,0.584,39
0.711,0.633,39
0.716,0.268,39
0.727,0.313,39
0.731,0.776,39
0.731,0.892,39
0.738,0.922,39
0.742,0.522,39
0.748,0.975,39
0.749,0.604,39
0.76,0.582,39
0.788,0.688,39
0.798,0.568,39
0.802,0.501,39
0.807,0.439,39
0.819,0.842,39
0.842,0.616,39
0.847,0.891,39
0.856,0.415,39
0.882,0.639,39
0.885,0.538,39
0.889,0.645,39
0.89,0.77,39
0.897,0.915,39
0.903,0.887,39
0.923,0.735,39
0.937,0.766,39
0.957,0.92,39
0.193,0.252,38
0.295,0.784,38
0.303,0.144,38
0.313,0.18,38
0.412,0.58,38
0.427,0.246,38
0.438,0.623,38
0.458,0.459,38
0.469,0.499,38
0.495,0.492,38
0.496,0.291,38
0.502,0.617,38
0.507,0.171,38
0.525,0.531,38
0.528,0.212,38
0.541,0.203,38
0.552,0.68,38
0.559,0.797,38
0.574,0.283,38
0.582,0.443,38
0.588,0.394,38
0.59,0.596,38
0.593,0.421,38
0.594,0.681,38
0.618,0.668,38
0.626,0.884,38
0.627,0.666,38
0.632,0.816,38
0.638,0.551,38
0.639,0.159,38
0.64,0.611,38
0.642,0.716,38
0.654,0.523,38
0.654,0.827,38
0.654,0.946,38
0.687,0.0771,38
0.695,0.819,38
0.715,0.597,38
0.718,0.744,38
0.736,0.314,38
0.742,0.77,38
0.753,0.558,38
0.764,0.417,38
0.766,0.444,38
0.774,0.864,38
0.775,0.826,38
0.795,0.683,38
0.801,0.59,38
0.804,0.695,38
0.806,0.569,38
0.813,0.754,38
0.823,0.366,38
0.831,0.476,38
0.84,0.534,38
0.856,0.72,38
0.866,0.945,38
0.87,0.434,38
0.872,0.369,38
0.876,0.579,38
0.882,0.797,38
0.918,0.818,38
0.924,0.511,38
0.232,0.167,37
0.316,0.309,37
0.36,0.839,37
0.371,0.395,37
0.372,0.124,37
0.43,0.392,37
0.442,0.454,37
0.451,0.917,37
0.453,0.243,37
0.46,0.242,37
0.462,0.762,37
0.463,0.15,37
0.483,0.594,37
0.508,0.304,37
0.51,0.316,37
0.53,0.329,37
0.546,0.204,37
0.552,0.7,37
0.553,0.256,37
0.56,0.624,37
0.572,0.457,37
0.573,0.759,37
0.599,0.904,37
0.616,0.61,37
0.624,0.821,37
0.628,0.656,37
0.634,0.841,37
0.648,0.733,37
0.652,0.542,37
0.652,0.666,37
0.657,0.437,37
0.658,0.524,37
0.672,0.386,37
0.674,0.276,37
0.676,0.876,37
0.68,0.351,37
0.682,0.826,37
0.689,0.584,37
0.697,0.87,37
0.701,0.687,37
0.711,0.381,37
0.713,0.615,37
0.716,0.217,37
0.721,0.339,37
0.727,0.763,37
0.73,0.132,37
0.73,0.481,37
0.73,0.639,37
0.737,0.343,37
0.738,0.36,37
0.745,0.399,37
0.747,0.506,37
0.754,0.65,37
0.758,0.679,37
0.77,0.545,37
0.773,0.835,37
0.775,0.257,37
0.778,0.528,37
0.792,0.288,37
0.8,0.27,37
0.814,0.425,37
0.815,0.813,37
0.816,0.601,37
0.831,0.926,37
0.841,0.838,37
0.861,0.409,37
0.894,0.665,37
0.897,0.912,37
0.903,0.636,37
0.906,0.822,37
0.908,0.501,37
0.227,0.535,36
0.296,0.253,36
0.312,0.198,36
0.339,0.517,36
0.361,0.526,36
0.371,0.189,36
0.374,0.553,36
0.401,0.271,36
0.408,0.26,36
0.43,0.244,36
0.484,0.243,36
0.489,0.543,36
0.497,0.675,36
0.503,0.0372,36
0.509,0.171,36
0.516,0.661,36
0.538,0.752,36
0.544,0.383,36
0.558,0.634,36
0.57,0.443,36
0.57,0.582,36
0.572,0.29,36
0.576,0.552,36
0.594,0.668,36
0.597,0.597,36
0.605,0.624,36
0.611,0.905,36
0.627,0.224,36
0.628,0.803,36
0.631,0.372,36
0.64,0.617,36
0.641,0.757,36
0.672,0.416,36
0.675,0.6,36
0.681,0.382,36
0.684,0.597,36
0.685,0.555,36
0.688,0.47,36
0.691,0.343,36
0.697,0.744,36
0.698,0.47,36
0.724,0.587,36
0.729,0.306,36
0.729,0.666,36
0.738,0.654,36
0.747,0.434,36
0.75,0.713,36
0.751,0.927,36
0.757,0.927,36
0.769,0.543,36
0.788,0.566,36
0.79,0.178,36
0.8,0.875,36
0.804,0.808,36
0.809,0.813,36
0.858,0.598,36
0.864,0.654,36
0.876,0.341,36
0.878,0.383,36
0.887,0.57,36
0.887,0.704,36
0.89,0.564,36
0.892,0.397,36
0.898,0.313,36
0.9,0.674,36
0.94,0.8,36
0.977,0.844,36
0.217,0.379,35
0.268,0.165,35
0.364,0.436,35
0.381,0.421,35
0.386,0.164,35
0.397,0.667,35
0.414,0.501,35
0.424,0.279,35
0.431,0.147,35
0.447,0.189,35
0.447,0.57,35
0.48,0.456,35
0.489,0.897,35
0.49,0.332,35
0.513,0.523,35
0.514,0.305,35
0.523,0.478,35
0.529,0.505,35
0.535,0.62,35
0.541,0.636,35
0.563,0.253,35
0.572,0.409,35
0.591,0.617,35
0.592,0.935,35
0.593,0.607,35
0.596,0.433,35
0.598,0.779,35
0.615,0.429,35
0.625,0.841,35
0.636,0.324,35
0.636,0.367,35
0.637,0.378,35
0.648,0.696,35
0.655,0.489,35
0.661,0.619,35
0.671,0.587,35
0.671,0.714,35
0.674,0.555,35
0.677,0.35,35
0.678,0.697,35
0.686,0.357,35
0.692,0.869,35
0.703,0.482,35
0.721,0.843,35
